respondent_id,Q1_age_group,Q2_gender,Q3_city_tier,Q4_occupation,Q5_monthly_income,Q6_act_gym,Q6_act_yoga,Q6_act_running,Q6_act_cycling,Q6_act_swimming,Q6_act_team_sports,Q6_act_outdoor,Q6_act_home_workout,Q6_act_none,Q7_workout_days_per_week,Q8_workout_location,Q9_goal_weight_loss,Q9_goal_muscle_building,Q9_goal_endurance,Q9_goal_flexibility,Q9_goal_mental_wellness,Q9_goal_recreational,Q9_goal_competitive,Q9_goal_general_health,Q10_influencer_affinity,Q11_current_monthly_spend_inr,Q12_shop_brand_app,Q12_shop_myntra_ajio,Q12_shop_amazon_flipkart,Q12_shop_brand_website,Q12_shop_physical_store,Q12_shop_social_commerce,Q12_shop_local_unbranded,Q13_factor_price,Q13_factor_brand_rep,Q13_factor_fabric_quality,Q13_factor_style,Q13_factor_sustainability,Q13_factor_influencer,Q13_factor_peer_rec,Q13_factor_loyalty_rewards,Q13_factor_size_avail,Q14_purchase_frequency,Q15_brand_nike,Q15_brand_adidas,Q15_brand_puma,Q15_brand_decathlon,Q15_brand_hrx_reebok,Q15_brand_indian_d2c,Q15_brand_unbranded,Q15_brand_none,Q16_feat_personalised_rec,Q16_feat_browse_purchase,Q16_feat_loyalty_rewards,Q16_feat_sustainability_info,Q16_feat_outfit_builder,Q16_feat_size_virtual_tryon,Q16_feat_order_tracking,Q16_feat_community_features,Q16_feat_flash_sales,Q16_feat_brand_collab,Q17_sustainability_importance,Q18_community_challenge_likelihood,Q19_flash_sale_likelihood,Q20_virtual_tryon_importance,Q21_prod_performance_activewear,Q21_prod_casual_athleisure,Q21_prod_sports_footwear,Q21_prod_accessories,Q21_prod_yoga_wellness,Q21_prod_swimwear,Q21_prod_outdoor_gear,Q22_brand_app_usage,Q24_wtp_monthly_inr,Q25_app_download_intent,persona_label,flag_q6_none_corrected,flag_q9_no_goals,flag_q11_luxury_outlier,Q11_winsorized,Q11_log,flag_q24_skeptic_outlier,Q24_winsorized,Q24_log,flag_q25_label_corrected,data_quality_flag_count,Q1_age_group_enc,Q5_monthly_income_enc,Q7_workout_days_enc,Q14_purchase_frequency_enc,Q25_intent_enc
11,18-22,Male,Tier_2,Business_Owner,60k-80k,0,0,0,0,1,0,0,1,0,3-4_days,Commercial_gym,0,0,0,1,0,1,1,1,Yes_influences_purchases,4200,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,Every_2-3_months,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,2,5,4,3,0,1,1,1,0,0,1,Prefers_3rd_party,6477,Yes,Casual_Gym_Goer,0,0,0,4200.0,8.343077871169383,0,6477.0,8.776167099731275,0,0,1,4,2,2.0,2
12,18-22,Male,Tier_2,Salaried_Private,20k-40k,1,0,0,0,0,0,0,0,0,3-4_days,Outdoors,1,0,0,0,0,1,0,1,Yes_occasional,511,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,Every_6_months,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,2,3,4,5,0,0,1,1,1,1,1,Prefers_3rd_party,670,Yes,Budget_Student,0,0,0,511.0,6.238324625039508,0,670.0,6.508769136971682,0,0,1,2,2,,2
13,18-22,Female,Metro,Salaried_Private,Below_20k,0,0,0,0,0,1,0,0,0,1-2_days,Home,0,0,0,0,0,1,0,1,Yes_occasional,1585,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,Every_6_months,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,4,2,4,3,1,1,1,0,1,1,0,Prefers_3rd_party,2286,Maybe,Fashion_First,0,0,0,1585.0,7.368970402194793,0,2286.0,7.734996194022781,0,0,1,1,1,,1
14,28-32,Male,Tier_2,Salaried_Private,20k-40k,1,1,1,1,0,0,1,1,0,5-7_days,Home,1,0,1,1,0,0,1,1,No,2848,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,Every_2-3_months,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,5,5,2,3,0,1,0,1,0,0,1,No_mobile_shopping,2537,No,Outdoor_Enthusiast,0,0,0,2848.0,7.954723334497908,0,2537.0,7.839131648274333,0,0,3,2,3,2.0,0
15,23-27,Female,Metro,Student,80k-100k,1,0,1,0,0,1,0,0,0,1-2_days,Commercial_gym,0,0,1,0,0,0,0,1,Yes_influences_purchases,6504,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,Every_2-3_months,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,2,4,2,4,1,0,1,1,0,0,1,Uses_regularly,8518,Yes,Casual_Gym_Goer,0,0,0,6504.0,8.780326390946605,0,8518.0,9.05005424204284,0,0,2,5,1,2.0,2
16,23-27,Male,Metro,Student,20k-40k,1,1,1,0,0,0,0,0,0,5-7_days,Outdoors,0,0,0,0,1,0,0,1,Yes_occasional,952,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Every_2-3_months,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,3,5,3,3,0,1,1,1,1,0,0,Uses_regularly,1085,No,Casual_Gym_Goer,0,0,0,952.0,6.859614903654202,0,1085.0,6.990256500493881,0,0,2,2,3,2.0,0
17,18-22,Male,Metro,Salaried_Public,40k-60k,0,1,0,0,0,0,1,1,0,1-2_days,Home,1,0,0,0,0,1,0,0,Yes_influences_purchases,4439,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,Every_2-3_months,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,3,4,2,4,0,1,0,1,1,0,0,Prefers_3rd_party,6494,Yes,Fashion_First,0,0,0,4439.0,8.39840965542627,0,6494.0,8.7787879291047,0,0,1,3,1,2.0,2
18,18-22,Male,Tier_2,Salaried_Public,80k-100k,0,0,1,1,0,1,0,1,0,3-4_days,Commercial_gym,1,1,1,0,0,0,1,1,Yes_occasional,12410,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,Monthly_or_more,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,2,5,5,2,1,1,0,1,1,0,0,Uses_regularly,16842,No,Serious_Athlete,0,0,1,12410.0,9.426338455129521,0,16842.0,9.731690419198387,0,1,1,5,2,,0
19,28-32,Male,Tier_2,Salaried_Private,20k-40k,0,0,0,1,1,0,1,0,0,1-2_days,Dont_workout,0,0,1,0,0,1,0,1,Yes_occasional,876,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Monthly_or_more,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,2,3,2,2,0,0,1,0,1,1,1,Installed_rarely,979,Yes,Outdoor_Enthusiast,0,0,0,876.0,6.776506992372183,0,979.0,6.887552571664617,0,0,3,2,1,,2
20,23-27,Female,Tier_2,Salaried_Private,60k-80k,1,0,0,0,0,0,0,1,0,3-4_days,Home,1,0,1,0,0,1,0,1,Yes_occasional,1462,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Every_6_months,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,4,4,3,5,0,1,1,1,0,1,0,Prefers_3rd_party,1471,Maybe,Fashion_First,0,0,0,1462.0,7.288244401020124,0,1471.0,7.294377299288821,1,1,2,4,2,,1
21,28-32,Male,Tier_3,Salaried_Private,20k-40k,1,1,1,0,0,0,1,1,0,3-4_days,Outdoors,0,0,0,1,1,1,0,1,No,3318,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,Every_2-3_months,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,4,5,3,4,0,0,1,1,1,0,1,Prefers_3rd_party,4787,Yes,Outdoor_Enthusiast,0,0,0,3318.0,8.107418811719974,0,4787.0,8.473868066677865,0,0,3,2,2,2.0,2
22,18-22,Male,Tier_2,Salaried_Private,20k-40k,1,0,0,0,0,0,0,1,0,3-4_days,Commercial_gym,1,0,1,0,0,1,0,1,No,1511,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,Monthly_or_more,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,2,4,4,3,1,1,0,1,0,1,0,Uses_regularly,1598,Yes,Casual_Gym_Goer,0,0,0,1511.0,7.321188556739478,0,1598.0,7.377133712833954,0,0,1,2,2,,2
23,18-22,Male,Metro,Freelancer,Below_20k,1,0,1,1,1,0,0,0,0,3-4_days,Commercial_gym,1,0,1,0,0,0,0,1,Yes_occasional,423,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,Every_6_months,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,4,4,5,3,0,1,0,1,1,0,0,No_mobile_shopping,361,Maybe,Budget_Student,0,0,0,423.0,6.049733455231958,1,361.0,5.8916442118257715,0,1,1,1,2,,1
24,18-22,Female,Tier_2,Student,Above_100k,1,0,1,0,1,0,0,1,0,3-4_days,Commercial_gym,0,0,1,1,0,0,0,0,Yes_occasional,3382,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,Every_6_months,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,2,3,4,5,0,0,1,0,1,0,0,Installed_rarely,4054,Yes,Budget_Student,0,0,0,3382.0,8.12651816878071,0,4054.0,8.307705966549513,0,0,1,6,2,,2
25,28-32,Female,Tier_2,Salaried_Private,20k-40k,0,0,0,1,1,0,1,1,0,5-7_days,Sports_club,0,0,1,0,1,1,0,1,Yes_occasional,1349,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,Every_2-3_months,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,3,4,3,4,0,0,1,0,1,1,1,Installed_rarely,1667,Maybe,Outdoor_Enthusiast,0,0,0,1349.0,7.2078598714324755,0,1667.0,7.419380582918692,0,0,3,2,3,2.0,1
26,23-27,Female,Tier_2,Salaried_Private,20k-40k,1,0,1,0,0,1,1,1,0,3-4_days,Home,1,0,1,1,1,1,0,0,Yes_influences_purchases,2003,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,Every_2-3_months,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,2,4,3,4,0,1,1,0,1,0,0,Installed_rarely,2834,Maybe,Casual_Gym_Goer,0,0,0,2003.0,7.602900462204755,0,2834.0,7.949797216161852,0,0,2,2,2,2.0,1
27,28-32,Female,Metro,Salaried_Private,80k-100k,0,0,0,0,0,0,0,0,0,1-2_days,Home,1,0,0,0,0,0,0,0,No,2448,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,Rarely,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,3,3,2,5,1,0,0,1,1,0,0,Uses_regularly,3279,Yes,Fashion_First,1,0,0,2448.0,7.803435056952168,0,3279.0,8.09559870137819,0,1,3,5,1,,2
28,23-27,Female,Metro,Salaried_Public,20k-40k,1,0,1,0,1,1,0,0,0,5-7_days,Outdoors,1,0,0,1,0,0,0,0,Yes_occasional,3866,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,Monthly_or_more,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,4,2,3,3,1,1,0,1,0,1,0,Installed_rarely,5095,Yes,Serious_Athlete,0,0,0,3866.0,8.260234291607297,0,5095.0,8.536211197252,0,0,2,2,3,,2
29,28-32,Male,Tier_2,Business_Owner,80k-100k,1,0,0,0,0,1,0,0,0,5-7_days,Outdoors,0,1,1,0,0,0,1,0,Yes_occasional,8686,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,Monthly_or_more,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,2,2,3,5,1,1,1,1,0,1,1,Uses_regularly,13396,No,Serious_Athlete,0,0,0,8686.0,9.06958293425992,0,13396.0,9.502786080276985,0,0,3,5,3,,0
30,28-32,Female,Metro,Salaried_Private,60k-80k,0,0,1,0,0,1,1,0,0,3-4_days,Outdoors,1,0,1,1,1,1,1,0,No,3865,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,Every_6_months,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,4,5,2,2,0,0,1,0,1,0,1,Installed_rarely,3685,Yes,Outdoor_Enthusiast,0,0,0,3865.0,8.259975659768276,0,3685.0,8.212297138229768,0,0,3,4,2,,2
31,18-22,Male,Tier_1,Salaried_Private,60k-80k,1,0,1,1,0,1,1,0,0,3-4_days,Outdoors,1,0,1,0,1,1,1,1,Yes_occasional,3644,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,Every_2-3_months,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,4,4,3,4,1,1,0,0,0,1,1,No_mobile_shopping,5292,No,Outdoor_Enthusiast,0,0,0,3644.0,8.201111644442758,0,5292.0,8.574140471857987,0,0,1,4,2,2.0,0
32,18-22,Male,Tier_1,Student,40k-60k,0,0,0,0,1,0,0,1,0,5-7_days,Home,1,1,0,0,0,1,1,0,Yes_occasional,927,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Yearly,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,2,4,3,4,1,1,0,1,0,0,1,Installed_rarely,1099,Yes,Budget_Student,0,0,0,927.0,6.833031732786201,0,1099.0,7.003065458786462,0,0,1,3,3,1.0,2
33,23-27,Female,Metro,Salaried_Private,60k-80k,1,1,0,0,0,0,1,0,0,5-7_days,Commercial_gym,1,1,0,1,0,0,1,1,Yes_influences_purchases,2980,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,Every_6_months,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,4,4,4,3,1,0,1,0,0,0,0,Installed_rarely,3360,Maybe,Casual_Gym_Goer,0,0,0,2980.0,8.000014093678072,0,3360.0,8.119993827725105,0,0,2,4,3,,1
34,23-27,Male,Metro,Salaried_Private,20k-40k,1,0,1,0,0,1,0,0,0,3-4_days,Outdoors,1,1,0,0,1,1,1,1,Yes_occasional,1772,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,Every_2-3_months,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,3,3,1,1,1,1,1,0,1,0,Uses_regularly,2278,Yes,Casual_Gym_Goer,0,0,0,1772.0,7.480428306074208,0,2278.0,7.731492029245684,0,0,2,2,2,2.0,2
35,18-22,Male,Tier_3,Student,Above_100k,1,1,0,0,1,0,0,0,0,0_days,Outdoors,1,0,0,1,1,0,1,1,Yes_influences_purchases,9694,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,Every_6_months,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,2,3,5,4,1,1,0,1,0,1,0,No_mobile_shopping,10621,No,Fashion_First,0,0,1,9694.0,9.179365567676752,0,10621.0,9.270682600982344,0,1,1,6,0,,0
36,28-32,Male,Tier_2,Freelancer,80k-100k,0,1,0,1,1,1,0,1,0,0_days,Outdoors,1,0,0,1,0,0,0,1,No,1275,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,Every_6_months,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,2,3,1,2,1,0,0,0,1,0,0,Prefers_3rd_party,1978,Maybe,Casual_Gym_Goer,0,0,0,1275.0,7.151485463904735,0,1978.0,7.590346945602565,0,0,3,5,0,,1
37,33-35,Male,Tier_2,Salaried_Private,80k-100k,1,0,1,1,1,1,1,1,0,3-4_days,Outdoors,0,0,1,0,1,1,1,0,Yes_occasional,11150,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,Rarely,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,3,5,2,3,1,0,1,1,0,0,0,Uses_regularly,16496,Yes,Serious_Athlete,0,0,1,11150.0,9.319284458965361,0,16496.0,9.710933825175925,0,1,4,5,2,,2
38,18-22,Female,Metro,Salaried_Private,40k-60k,0,1,0,0,0,0,0,1,0,3-4_days,Sports_club,1,1,0,1,1,0,0,1,Yes_influences_purchases,3111,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,Every_6_months,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,4,4,3,2,0,1,1,0,1,0,0,Installed_rarely,4743,Maybe,Fashion_First,0,0,0,3111.0,8.043020885298283,0,4743.0,8.464635940677562,0,0,1,3,2,,1
39,28-32,Male,Metro,Student,40k-60k,1,0,1,0,0,0,0,1,0,3-4_days,Home,0,1,1,0,1,0,0,0,Yes_influences_purchases,4261,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,Yearly,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,4,3,4,5,1,0,1,0,1,0,0,Prefers_3rd_party,5151,Yes,Casual_Gym_Goer,0,0,0,4261.0,8.357493812658563,0,5151.0,8.54714026778419,0,0,3,3,2,1.0,2
40,28-32,Female,Metro,Freelancer,40k-60k,0,1,0,0,0,0,0,0,0,3-4_days,Dont_workout,0,1,0,1,0,0,0,0,Yes_occasional,3182,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,Monthly_or_more,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,2,2,2,3,1,1,1,1,0,1,0,Installed_rarely,3251,Yes,Fashion_First,0,0,0,3182.0,8.065579427282092,0,3251.0,8.087025470667701,0,0,3,3,2,,2
41,23-27,Male,Tier_1,Student,Below_20k,1,0,0,0,1,0,0,1,0,3-4_days,Home,0,0,0,0,0,1,0,0,Yes_influences_purchases,1144,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,Every_2-3_months,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,3,5,3,3,0,0,1,1,1,0,1,Prefers_3rd_party,1001,Yes,Casual_Gym_Goer,0,0,0,1144.0,7.0431599159883405,0,1001.0,6.90975328164481,0,0,2,1,2,2.0,2
42,28-32,Female,Metro,Salaried_Private,40k-60k,0,0,1,1,0,0,0,1,0,3-4_days,Sports_club,1,1,1,1,1,0,0,1,Yes_occasional,3216,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,Every_2-3_months,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,5,1,2,2,1,1,1,1,0,0,1,Installed_rarely,215,Maybe,Outdoor_Enthusiast,0,0,0,3216.0,8.076204527239026,1,283.85,5.375278407684165,0,1,3,3,2,2.0,1
43,28-32,Male,Tier_2,Freelancer,60k-80k,0,1,0,0,0,0,0,0,0,5-7_days,Sports_club,0,0,1,0,1,1,0,1,Yes_occasional,1877,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,Every_6_months,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,4,5,5,4,1,0,1,1,0,0,1,Installed_rarely,1637,Yes,Outdoor_Enthusiast,0,0,0,1877.0,7.537962659768208,0,1637.0,7.401231264413015,0,0,3,4,3,,2
44,33-35,Female,Tier_3,Salaried_Private,60k-80k,1,1,0,1,0,0,1,1,0,3-4_days,Commercial_gym,1,0,1,1,0,1,0,0,Yes_occasional,1875,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,Every_6_months,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,2,3,4,1,1,0,1,1,1,0,0,Prefers_3rd_party,2829,Maybe,Casual_Gym_Goer,0,0,0,1875.0,7.53689712956617,0,2829.0,7.948031990637284,0,0,4,4,2,,1
45,33-35,Male,Tier_1,Business_Owner,40k-60k,1,0,1,0,1,0,1,0,0,5-7_days,Outdoors,0,1,0,1,0,1,0,1,No,2389,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,Yearly,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,5,4,1,4,0,0,1,0,1,1,1,Installed_rarely,2149,Yes,Outdoor_Enthusiast,0,0,0,2389.0,7.779048644925556,0,2149.0,7.673223121121708,0,0,4,3,3,1.0,2
46,18-22,Male,Tier_1,Salaried_Private,40k-60k,0,0,1,1,0,0,0,1,0,3-4_days,Outdoors,1,1,1,0,0,0,0,1,No,2665,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,Every_6_months,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,4,3,3,2,1,1,1,1,0,0,1,Prefers_3rd_party,3790,Maybe,Outdoor_Enthusiast,0,0,0,2665.0,7.888334500738654,0,3790.0,8.240385115516334,0,0,1,3,2,,1
